"","Station","median","igr","gmean","p90","nlog","median_ml","iqr_ml","gmean_ml","p90_ml","nlog_ml"
"1","WI010.70",33,99.75,37.4405838036133,164,28,33,99.75,35.8766327528993,164,28
"2","WI015.00",2,0,3.10836361797937,16.8,49,0.626499844531749,1.39037725857103,1.50601350187382,16.8,49
"3","WI017.00",2,6,5.4603668820359,56,31,2,7.38483774646581,3.3266426660593,56,31
"4","WI017.50",2,4,4.11677356481872,29,49,0.636208551562848,5.3863628133003,2.19865267686124,29,49
"5","WI019.00",2,9.5,6.04302554350986,52.8000000000001,30,2,10.5226158652937,4.41526616204517,52.8000000000001,30
"6","WI020.00",2.8,12.5,6.44769886123199,73.6,30,2.8,13.87252805207,4.52619569823344,73.6,30
"7","WI025.00",4,18,6.50076232912344,44,51,4,19.3849125723579,4.07407511477415,44,51
"8","WI026.00",2,12,5.31498038273219,35.3,30,2,13.3728390609245,3.45116175644709,35.3,30
"9","WI027.00",2,4,4.2604236696042,38.6,37,2,5.38342455511548,2.71677115605132,38.6,37
"10","WI028.50",2,2,3.86327716462755,14.8,35,0.622374598401111,3.39263494269809,1.83215717466832,14.8,35
"11","WI029.00",2,2,3.5149717929377,11,36,0.636679583607351,3.39758034375197,1.87262105813559,11,36
"12","WI030.00",2,15,6.14930862960999,62,71,2,16.3822734914122,3.91527109266004,62,71
"13","WI033.00",2,5.3,4.04997548768073,27,45,0.631960447764842,6.68843125971687,2.09634383957843,27,45
"14","WI034.10",2,0.4,3.3590943719335,15.4,44,0.62571934139632,1.79443002088609,1.75442793071329,15.4,44
"15","WI036.00",2,4,4.01925708228099,12.8,29,2,5.37848798758513,2.57010717846894,12.8,29
"16","WI038.00",2,26.075,7.27635741519337,164.000000000001,30,2,27.4596798154118,4.35125643979734,164.000000000001,30
"17","WI040.00",3,7.775,4.58051848267881,14.1,30,3,9.15726825424754,2.74287020312691,14.1,30
"18","WI041.00",6,32,8.72294164334813,55.6,29,6,33.3641910611567,5.81393603213646,55.6,29
"19","WI048.00",6,27,10.3806914968887,102,61,6,27,8.06770933887412,102,61
"20","WI051.00",4,12,6.3038046129677,41.8,41,4,13.3699663831746,4.21945643697023,41.8,41
"21","WI051.50",5,13.75,6.18069218777553,26.8,34,5,14.7782359131887,4.50335438908789,26.8,34
"22","WI053.00",2,5.3,4.0519393773428,18.8,67,2,6.67952957843067,2.51280677716019,18.8,67
"23","WI054.00",2,8,4.42446120235999,16,61,2,9.3854108631876,2.72299039093705,16,61
"24","WI055.00",2,13.5,6.32821101162136,55.6,59,2,14.888144116063,3.89921834699187,55.6,59
"25","WI055.20",11.5,21.1,10.6720377825712,104.8,30,11.5,21.1,8.40737717109654,104.8,30
"26","WI055.50",5.5,10.175,5.82879533011249,33.7,60,5.5,11.5431006769733,4.08199366855633,33.7,60
"27","WI056.00",2,17.5,7.03900945020126,98.2000000000001,102,2,18.8898776585735,4.16498961173162,98.2000000000001,102
"28","WI056.70",2,0,2.20512551507984,2.60000000000001,58,0.619858148791845,1.39596808694737,0.932966812537125,2.60000000000001,58
"29","WI058.50",2,6,4.83462595198732,60.8,67,2,7.38595500410427,2.74611828145766,60.8,67
"30","WI058.80",2,5.65,4.58076161405554,36.8000000000001,63,2,7.03870508261638,2.55496320216429,36.8000000000001,63
"31","WI061.00",3.6,7.55,5.1397443735396,24.4,35,3.6,8.93265658632162,3.40352150128342,24.4,35
"32","WI062.00",10,25,8.77134724502377,62.8,25,10,26.3630736216785,6.30955322924764,62.8,25
"33","WI063.00",4,14,6.75581977604298,27,31,4,15.3853469643996,4.42598356811975,27,31
"34","WI064.00",2,4,4.71932145757656,21.4000000000001,30,2,5.38075054190195,2.83296516370539,21.4000000000001,30
"35","WI065.50",2,0,2.46934167784804,5.2,33,0.612804951462623,1.3987161579271,1.03594904038055,5.2,33
"36","WI069.00",2,0,4.06444950290984,27.5,34,0.618978149017121,1.39497503350655,1.8195627303668,27.5,34
"37","WI071.00",2,2,4.00407301097032,26.3,34,0.637126292666516,3.39420820235222,2.1282191116659,26.3,34
"38","WI074.00",2,0,3.11794756447516,23.9,34,0.625922651757346,1.05682606188144,1.30683307694309,23.9,34
"39","WI077.00",2,0,2.35350862038522,2.40000000000001,30,0.617642091798833,0.0260313878092928,0.843226579593491,2.40000000000001,30
"40","WI083.00",2,0,2.26843299164648,3.6,30,0.614961445752532,0.0297008838326807,0.843187258004317,3.6,30
"41","WI088.00",2,0,2.24492409661875,2.2,30,0.619467403141345,1.39413776763637,0.976838352453522,2.2,30
"42","WI090.00",2,0,2.03957217839603,2,30,0.614555748422756,0.029592563605813,0.759331844884218,2,30
"43","WI092.00",2,0,2.08820480691501,2,30,0.610870436440065,0.0241713571422395,0.803624922143025,2,30
"44","WI093.00",2,0,2.10360264827768,2,30,0.612975041258226,0.0131807514090045,0.722531323060994,0.768011958080206,30
"45","WI095.00",2,0,2.17271470588387,2,30,0.617167102191301,0.032921875225016,0.74706697860136,0.772341314373701,30
"46","WJ001.00",2,0,2.57721462409869,5.85,64,0.623251350107116,1.39401004177553,1.18638654342508,5.85,64
"47","WJ001.20",2,0,2.2564916405441,2,40,0.615278875092359,0.0317168788488998,0.897593653948075,2,40
"48","WJ001.50",2,0,3.07711282918332,19.6,63,0.622277559282277,1.3924733932925,1.53076780336257,19.6,63
"49","WJ002.00",2,0,2.88478135109081,8,65,0.619324515286632,1.3948687368941,1.26842357111899,8,65
"50","WJ002.50",2,0,3.33788044168897,13,65,0.635048811237574,1.38669310920674,1.67907905918487,13,65
"51","WJ002.51",2,0,2.10953215296329,2,39,0.621765461913031,0.717970022102812,0.877085861157371,2,39
"52","WJ003.00",2,0,2.77916374384438,5.6,69,0.615152535048954,0.0501481477472215,1.13226231225386,5.6,69
"53","WJ006.00",2,0,2.34657195653026,4,68,0.63786226664199,1.39337518820601,1.23070199755008,4,68
"54","WJ007.12",2,0,2.2213838876049,2.40000000000001,39,0.619959986308799,0.723153366147828,0.920840029955966,2.40000000000001,39
"55","WJ008.00",2,2,3.31686159682172,15.4,67,2,3.39005626910005,1.89451277513527,11.46,67
"56","WJ009.00",2,0,2.76969011834541,8,46,1.31685231875643,1.39372655946649,1.52562436770271,8,46
"57","WJ009.70",2,2,3.10670538507478,9.82,73,0.628914624639931,3.38923086621574,1.56993988793439,9.82,73
"58","WJ009.80",2,1.6,2.85693922050605,6,53,0.635368127067898,2.99431859187144,1.39749645567431,6,53
"59","WJ011.00",2,4,3.88990512092306,13,71,2,5.38869518523673,2.27475192236098,13,71
"60","WJ014.00",2,2.75,3.75599512102539,15.6,79,0.645640600670259,3.38988549568944,1.98119716027797,13.4,79
"61","WJ014.15",4,10,6.39479453562353,32.3,60,4,10,4.96000365886262,32.3,60
"62","WJ014.17",2,5.3,4.38013613808761,21.6,47,2,6.67692511663709,2.93032913188024,21.6,47
"63","WJ014.20",3,6,4.63526522912169,19,66,3,7.37525395413364,3.01473275467923,19,66
"64","WJ014.31",2,4,3.85114427166204,11,51,2,5.3870290812257,2.41652495540783,11,51
"65","WJ014.41",2,0.4,2.7737752740147,5.8,52,0.627676034419888,1.7949746248061,1.39634606909657,5.8,52
"66","WJ014.50",2,3.625,3.9816893652109,13.8,72,2,5.00611294948352,2.51571207843765,13.8,72
"67","WJ014.70",2,2,3.4023915044991,9.1,65,0.638517589085091,3.3877558668601,1.776131150122,8.66,65
"68","WJ014.80",2,0,2.39100177349948,6,40,0.626961727406468,1.39858479791122,1.07445912774941,6,40
"69","WJ014.90",2,0,2.51151604549228,4,39,0.622442800398791,1.38795677940365,1.14102500870316,4,39
"70","WJ015.00",2,0,2.65092417409135,4,63,0.625738952040058,1.393442451178,1.22393114966839,4,63
