date,station,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
1/1/2015,,36,0,0,0,-50,0,-77,230,220,89,121
1/2/2015,,51,0,0,0,-7,33,-55,290,280,130,170
1/3/2015,,30,104,79,0,-62,11,-99,130,130,76,103
1/4/2015,,30,119,33,100,-24,17,-49,340,350,67,85
1/5/2015,,93,0,0,100,5,50,-127,290,280,174,228
1/6/2015,,17,0,0,100,-112,-82,-160,300,300,67,85
1/7/2015,,43,0,0,100,-106,-38,-171,310,300,116,143
1/8/2015,,30,0,0,80,-164,-82,-227,240,240,72,112
1/9/2015,,48,13,10,80,-60,-16,-82,200,210,103,148
1/10/2015,,37,0,0,80,-71,-43,-121,290,290,98,125
1/11/2015,,27,0,0,80,-88,-32,-138,220,220,54,67
1/12/2015,,12,53,71,100,-26,6,-43,330,350,45,67
1/13/2015,,42,0,0,150,-60,-5,-182,330,330,112,152
1/14/2015,,21,0,0,150,-130,-43,-210,350,360,36,40
1/15/2015,,31,8,10,150,-37,-16,-66,360,350,54,67
1/16/2015,,55,0,0,150,-36,33,-143,290,300,157,192
1/17/2015,,21,0,0,150,-123,-66,-188,300,300,67,81
1/18/2015,,32,64,0,130,-37,94,-88,140,140,125,179
1/19/2015,,52,28,0,80,65,94,17,140,150,112,161
1/20/2015,,50,0,0,50,4,22,-60,260,280,94,125
1/21/2015,,11,0,0,50,-51,-5,-110,350,340,40,49
1/22/2015,,17,0,0,50,-28,33,-60,360,360,45,58
1/23/2015,,30,0,0,30,-34,17,-82,250,300,58,81
1/24/2015,,34,69,84,30,-17,0,-38,330,340,81,107
1/25/2015,,55,0,0,130,-5,28,-116,290,330,103,130
1/26/2015,,37,0,0,100,-103,-66,-160,10,10,94,121
1/27/2015,,112,602,564,200,-98,-82,-116,350,340,157,215
1/28/2015,,54,18,41,430,-72,-32,-138,10,340,139,179
1/29/2015,,10,0,0,380,-95,-10,-193,280,280,45,49
1/30/2015,,32,97,109,380,-29,0,-60,320,320,112,165
1/31/2015,,85,13,33,460,-68,-55,-138,330,320,143,192
2/1/2015,,27,0,0,410,-108,-32,-182,330,350,63,81
2/2/2015,,65,226,231,410,-143,-110,-160,350,360,116,157
2/3/2015,,30,0,0,510,-114,-66,-177,310,310,89,130
2/4/2015,,18,15,20,480,-96,17,-188,210,230,81,121
2/5/2015,,57,53,64,510,-22,11,-155,340,330,116,157
2/6/2015,,16,0,0,510,-139,-71,-227,310,320,63,85
2/7/2015,,28,0,0,480,-76,-21,-132,20,280,58,76
2/8/2015,,55,66,74,480,-92,-55,-127,50,10,89,112
2/9/2015,,60,102,122,580,-117,-93,-121,10,360,81,116
2/10/2015,,38,33,43,560,-83,-10,-116,360,350,72,89
2/11/2015,,34,0,0,530,-84,-49,-138,30,20,81,112
2/12/2015,,16,10,33,510,-107,-66,-160,340,30,36,45
2/13/2015,,39,0,0,530,-101,-82,-199,330,330,81,112
2/14/2015,,26,58,48,530,-149,-88,-221,20,20,76,98
2/15/2015,,91,5,10,560,-94,-71,-182,340,310,157,206
2/16/2015,,66,0,0,530,-140,-60,-193,310,310,157,197
2/17/2015,,13,0,0,510,-124,-60,-177,70,60,45,54
2/18/2015,,20,5,10,510,-68,0,-143,100,110,67,85
